Epoch,Time,LR,Loss,Loss_data,Loss_T_bound,Loss_NSE,Loss_EE,Loss_conti,MAE_u,MAE_v,MAE_w,MAE_T,MAE_p,COR_u,COR_v,COR_w,COR_T,COR_p
29,10.71,0.001000,0.0103611,0.0099648,0.2499911,0.0013962,0.0003005,0.0036157,0.0605819,0.0538841,0.0930319,0.1238035,0.4880760,-0.0025869,0.0023509,-0.0007303,0.0098209,0.0162350
30,10.72,0.001000,0.0103425,0.0099652,0.2499961,0.0012256,0.0001671,0.0031143,0.0605829,0.0538815,0.0930460,0.1236203,0.4880848,0.0023289,0.0197421,0.0131634,-0.0069194,0.0086900
31,10.72,0.001000,0.0102940,0.0099649,0.2499935,0.0007512,0.0001516,0.0025338,0.0605825,0.0538871,0.0930616,0.1236437,0.4880566,0.0013032,-0.0032388,0.0093278,0.0061230,-0.0082097
32,10.70,0.001000,0.0102861,0.0099624,0.2499916,0.0007034,0.0000563,0.0028557,0.0605856,0.0538673,0.0930189,0.1237596,0.4880938,0.0209080,0.0464542,0.1052012,-0.0073433,0.0004334
33,10.70,0.001000,0.0101018,0.0095137,0.2500511,0.0030846,0.0000514,0.0291324,0.0604317,0.0537405,0.0894077,0.1231252,0.4884532,0.1880010,0.1848744,0.7171120,0.2222603,-0.0242860
34,10.70,0.001000,0.0007479,0.0002888,0.1857806,0.0018935,0.0020235,0.0638299,0.0119932,0.0111499,0.0145258,0.1065698,0.4858695,0.9807179,0.9795566,0.9894866,0.6012740,0.2097919
35,10.69,0.001000,0.0004252,0.0002104,0.0201816,0.0012584,0.0030154,0.0386416,0.0090439,0.0084300,0.0113987,0.0748748,0.4826500,0.9887276,0.9877669,0.9930344,0.8382455,0.2493581
36,10.71,0.001000,0.0002429,0.0001197,0.0050924,0.0007888,0.0015975,0.0232593,0.0070845,0.0068523,0.0089588,0.0622662,0.4810406,0.9930239,0.9916754,0.9959564,0.8751804,0.2697666
37,10.72,0.001000,0.0002718,0.0001545,0.0024859,0.0007549,0.0013318,0.0260139,0.0076340,0.0074499,0.0108252,0.0595879,0.4807302,0.9922991,0.9903725,0.9928584,0.8864542,0.2803434
38,10.73,0.001000,0.0002890,0.0001944,0.0019560,0.0006190,0.0011271,0.0195226,0.0070074,0.0067476,0.0098256,0.0550036,0.4810027,0.9933713,0.9919984,0.9944568,0.9020295,0.2876841
39,10.74,0.001000,0.0002488,0.0001538,0.0009757,0.0006274,0.0010024,0.0212929,0.0069371,0.0064609,0.0109120,0.0507383,0.4809484,0.9933593,0.9930741,0.9934367,0.9144425,0.2886918
40,10.73,0.001000,0.0001511,0.0000758,0.0010959,0.0005096,0.0008142,0.0151833,0.0058326,0.0064362,0.0083916,0.0484221,0.4812899,0.9945422,0.9928184,0.9959831,0.9197971,0.2892256
41,10.73,0.001000,0.0003485,0.0002581,0.0007963,0.0006003,0.0009823,0.0197576,0.0072588,0.0074114,0.0111180,0.0495530,0.4806176,0.9919978,0.9896972,0.9924830,0.9164628,0.2854368
42,10.71,0.001000,0.0003906,0.0002899,0.0009501,0.0006809,0.0009110,0.0225756,0.0086293,0.0086085,0.0125722,0.0506354,0.4805351,0.9879850,0.9863238,0.9891636,0.9117907,0.2835760
43,10.70,0.001000,0.0001931,0.0001306,0.0004548,0.0004214,0.0006214,0.0136171,0.0059069,0.0058775,0.0092399,0.0455051,0.4817640,0.9944860,0.9932576,0.9949416,0.9277543,0.2908626
44,10.71,0.001000,0.0001725,0.0001190,0.0011440,0.0003699,0.0005095,0.0102547,0.0051159,0.0052440,0.0083169,0.0469191,0.4823875,0.9964916,0.9953841,0.9954667,0.9239815,0.2824939
45,10.69,0.001000,0.0001118,0.0000607,0.0005441,0.0003421,0.0004924,0.0114591,0.0050662,0.0051788,0.0065817,0.0447264,0.4823876,0.9958254,0.9955387,0.9973913,0.9295803,0.2893806
46,10.70,0.001000,0.0001543,0.0000972,0.0005198,0.0003827,0.0005291,0.0130426,0.0063154,0.0058120,0.0098770,0.0474848,0.4820938,0.9931758,0.9932566,0.9933375,0.9231998,0.2834322
47,10.72,0.001000,0.0002119,0.0001343,0.0015367,0.0005472,0.0006820,0.0145598,0.0068300,0.0065576,0.0082558,0.0436137,0.4813780,0.9916960,0.9909562,0.9960603,0.9353652,0.2883776
48,10.71,0.001000,0.0001206,0.0000831,0.0008035,0.0002552,0.0003644,0.0076068,0.0054170,0.0050825,0.0082704,0.0449174,0.4828550,0.9958893,0.9951300,0.9957396,0.9320611,0.2859266
49,10.70,0.001000,0.0001394,0.0001048,0.0003678,0.0002367,0.0002937,0.0076867,0.0044967,0.0044039,0.0064867,0.0444801,0.4836034,0.9970577,0.9967455,0.9970686,0.9359213,0.2820280
50,10.69,0.001000,0.0001512,0.0001072,0.0006085,0.0003000,0.0004341,0.0090794,0.0064474,0.0064571,0.0090834,0.0448945,0.4820088,0.9933122,0.9918941,0.9946975,0.9367980,0.2822688
51,10.70,0.001000,0.0001352,0.0000826,0.0037634,0.0003411,0.0005097,0.0095905,0.0059221,0.0053618,0.0078019,0.0465957,0.4826884,0.9951612,0.9935244,0.9960746,0.9290810,0.2831224
52,10.68,0.001000,0.0006833,0.0002772,0.1425259,0.0017214,0.0031375,0.0600641,0.0108217,0.0111122,0.0135831,0.1022318,0.4875269,0.9834763,0.9799837,0.9907047,0.6702865,0.1851425
53,10.69,0.001000,0.0001469,0.0000877,0.0009140,0.0003892,0.0007621,0.0118366,0.0053773,0.0063860,0.0075635,0.0540824,0.4846834,0.9964004,0.9956999,0.9968047,0.9015909,0.2831623
54,10.70,0.001000,0.0001798,0.0001142,0.0017779,0.0004130,0.0007443,0.0151097,0.0056166,0.0057208,0.0077765,0.0473157,0.4847978,0.9951943,0.9933592,0.9963276,0.9266723,0.2931026
55,10.70,0.001000,0.0001682,0.0001176,0.0011589,0.0003281,0.0005449,0.0112141,0.0069774,0.0054982,0.0098695,0.0445537,0.4854719,0.9956121,0.9946093,0.9949121,0.9332792,0.2917724
56,10.71,0.001000,0.0000936,0.0000581,0.0006067,0.0002315,0.0003907,0.0078334,0.0040933,0.0038505,0.0048890,0.0408936,0.4856813,0.9976715,0.9976059,0.9989360,0.9470086,0.2916290
57,10.69,0.001000,0.0000873,0.0000493,0.0002568,0.0002569,0.0003737,0.0083291,0.0039182,0.0033711,0.0044763,0.0389357,0.4854126,0.9982492,0.9979525,0.9988737,0.9507893,0.2921350
58,10.71,0.001000,0.0000734,0.0000402,0.0003340,0.0002250,0.0003517,0.0069368,0.0041335,0.0039941,0.0049878,0.0409519,0.4858940,0.9972908,0.9970106,0.9988124,0.9450201,0.2889658
59,10.71,0.001000,0.0001032,0.0000679,0.0005311,0.0002443,0.0003321,0.0070153,0.0041626,0.0056648,0.0067315,0.0396072,0.4863957,0.9975054,0.9963577,0.9967888,0.9502529,0.2873365
60,10.70,0.001000,0.0001153,0.0000773,0.0005865,0.0002635,0.0003335,0.0077281,0.0046037,0.0054274,0.0081521,0.0386631,0.4865520,0.9971378,0.9953511,0.9953072,0.9529755,0.2857056
61,10.70,0.000500,0.0000107,0.0000052,0.0000851,0.0000362,0.0000765,0.0010808,0.0013297,0.0012719,0.0018910,0.0340515,0.4898190,0.9997534,0.9996870,0.9998183,0.9693727,0.2885944
62,10.71,0.000500,0.0000153,0.0000068,0.0000994,0.0000571,0.0001034,0.0016425,0.0017240,0.0018489,0.0021518,0.0342970,0.4895470,0.9994292,0.9994271,0.9997358,0.9679211,0.2871630
63,10.72,0.000500,0.0000097,0.0000041,0.0000660,0.0000375,0.0000688,0.0011249,0.0015625,0.0013706,0.0018549,0.0345279,0.4899212,0.9996390,0.9996312,0.9998358,0.9684864,0.2882602
64,10.72,0.000500,0.0000862,0.0000615,0.0011309,0.0001609,0.0002395,0.0051300,0.0049202,0.0044932,0.0059171,0.0347314,0.4891942,0.9964632,0.9955242,0.9981831,0.9637640,0.2891163
65,10.70,0.000500,0.0000146,0.0000072,0.0001056,0.0000512,0.0000751,0.0013956,0.0018696,0.0018773,0.0023936,0.0359182,0.4904388,0.9995782,0.9994154,0.9997177,0.9686242,0.2863501
66,10.72,0.000500,0.0000096,0.0000045,0.0000738,0.0000338,0.0000581,0.0010258,0.0014290,0.0014094,0.0019960,0.0344521,0.4905568,0.9996889,0.9996153,0.9997861,0.9701444,0.2870432
67,10.72,0.000500,0.0000262,0.0000168,0.0003699,0.0000623,0.0000854,0.0019367,0.0020853,0.0019832,0.0028807,0.0356548,0.4900111,0.9994442,0.9992082,0.9995350,0.9679455,0.2862726
68,10.70,0.000500,0.0000171,0.0000094,0.0001286,0.0000568,0.0000666,0.0012476,0.0020467,0.0018727,0.0029836,0.0352163,0.4909345,0.9994439,0.9993213,0.9995576,0.9687937,0.2881774
69,10.71,0.000500,0.0000101,0.0000052,0.0001024,0.0000326,0.0000552,0.0010081,0.0016923,0.0017070,0.0024695,0.0354638,0.4910344,0.9996082,0.9994822,0.9996523,0.9701212,0.2870376
70,10.71,0.000500,0.0000119,0.0000056,0.0000491,0.0000439,0.0000646,0.0012253,0.0017416,0.0016481,0.0029222,0.0361412,0.4907565,0.9996110,0.9994544,0.9994066,0.9679908,0.2873605
71,10.71,0.000500,0.0000082,0.0000040,0.0000848,0.0000293,0.0000436,0.0007595,0.0013505,0.0015079,0.0018324,0.0353648,0.4914277,0.9997360,0.9995972,0.9997959,0.9706706,0.2879001
72,10.69,0.000500,0.0000403,0.0000184,0.0003196,0.0001497,0.0002184,0.0044835,0.0028549,0.0029303,0.0040715,0.0405092,0.4873774,0.9987085,0.9982920,0.9990371,0.9537767,0.2823912
73,10.69,0.000500,0.0000180,0.0000089,0.0001276,0.0000608,0.0000999,0.0019665,0.0020032,0.0018887,0.0030463,0.0370805,0.4889762,0.9994552,0.9993222,0.9995126,0.9645857,0.2845794
74,10.71,0.000500,0.0000154,0.0000065,0.0001308,0.0000641,0.0000815,0.0015089,0.0016583,0.0016168,0.0027537,0.0360168,0.4896215,0.9995480,0.9994774,0.9996744,0.9681568,0.2840759
75,10.71,0.000500,0.0000148,0.0000065,0.0000723,0.0000584,0.0000831,0.0015798,0.0016716,0.0016540,0.0025593,0.0361362,0.4897378,0.9996001,0.9994661,0.9996719,0.9682904,0.2843136
76,10.70,0.000500,0.0000122,0.0000052,0.0000881,0.0000488,0.0000656,0.0013696,0.0014597,0.0014592,0.0022699,0.0371118,0.4900389,0.9997045,0.9995900,0.9997230,0.9675680,0.2829030
77,10.70,0.000500,0.0000196,0.0000136,0.0000619,0.0000415,0.0000631,0.0011097,0.0016527,0.0017462,0.0033916,0.0360860,0.4902694,0.9996316,0.9994749,0.9994074,0.9690503,0.2841922
78,10.70,0.000500,0.0000105,0.0000057,0.0000907,0.0000325,0.0000532,0.0008679,0.0013233,0.0011624,0.0017026,0.0361105,0.4903985,0.9997877,0.9997554,0.9998431,0.9692109,0.2842722
79,10.70,0.000500,0.0000102,0.0000045,0.0000534,0.0000403,0.0000564,0.0010785,0.0011882,0.0012512,0.0016463,0.0363787,0.4907105,0.9997845,0.9997475,0.9998398,0.9691368,0.2849784
80,10.69,0.000500,0.0000155,0.0000063,0.0000656,0.0000698,0.0000683,0.0015076,0.0019371,0.0018036,0.0022237,0.0366387,0.4902524,0.9997073,0.9995797,0.9997311,0.9682927,0.2838391
81,10.69,0.000500,0.0000083,0.0000040,0.0000615,0.0000294,0.0000463,0.0008541,0.0013670,0.0015917,0.0017711,0.0371435,0.4911055,0.9997364,0.9996479,0.9998009,0.9692119,0.2843460
82,10.69,0.000500,0.0000135,0.0000068,0.0000788,0.0000493,0.0000560,0.0011471,0.0014314,0.0012753,0.0020831,0.0363306,0.4911778,0.9996901,0.9996845,0.9997757,0.9693339,0.2857266
83,10.70,0.000500,0.0000453,0.0000293,0.0005196,0.0001122,0.0001506,0.0028182,0.0029703,0.0030787,0.0034345,0.0374195,0.4887344,0.9983765,0.9975978,0.9992354,0.9639258,0.2815004
84,10.69,0.000500,0.0000119,0.0000069,0.0000769,0.0000344,0.0000535,0.0009551,0.0013131,0.0012847,0.0020876,0.0375289,0.4903229,0.9997173,0.9996720,0.9997266,0.9673958,0.2815865
85,10.68,0.000500,0.0000087,0.0000050,0.0000545,0.0000254,0.0000423,0.0007245,0.0012190,0.0012168,0.0017627,0.0376544,0.4905317,0.9997817,0.9997273,0.9998081,0.9673433,0.2823121
86,10.69,0.000500,0.0000106,0.0000047,0.0000765,0.0000416,0.0000570,0.0010545,0.0012794,0.0011876,0.0019175,0.0375004,0.4902585,0.9997677,0.9997410,0.9997826,0.9676455,0.2840046
87,10.68,0.000500,0.0000071,0.0000033,0.0000430,0.0000267,0.0000377,0.0007023,0.0010269,0.0010798,0.0014581,0.0371842,0.4905955,0.9998398,0.9998018,0.9998634,0.9682685,0.2833352
88,10.70,0.000500,0.0000871,0.0000588,0.0006075,0.0002089,0.0002342,0.0044015,0.0039247,0.0034668,0.0054235,0.0415741,0.4824458,0.9974310,0.9973913,0.9984328,0.9507837,0.2811416
89,10.71,0.000500,0.0000144,0.0000065,0.0001005,0.0000533,0.0000906,0.0014867,0.0017461,0.0016380,0.0019881,0.0398762,0.4855138,0.9995530,0.9994542,0.9997656,0.9611875,0.2814649
90,10.70,0.000500,0.0000387,0.0000240,0.0003387,0.0001020,0.0001463,0.0027229,0.0029494,0.0027577,0.0037525,0.0392915,0.4844012,0.9985979,0.9984680,0.9991725,0.9583563,0.2818949
91,10.75,0.000500,0.0000139,0.0000061,0.0000751,0.0000558,0.0000790,0.0013384,0.0015270,0.0015673,0.0021533,0.0395967,0.4867593,0.9996336,0.9995297,0.9996880,0.9624045,0.2834982
92,10.75,0.000500,0.0000276,0.0000181,0.0002948,0.0000672,0.0000797,0.0017450,0.0020861,0.0030117,0.0030208,0.0391460,0.4874479,0.9993740,0.9990915,0.9994180,0.9644752,0.2832475
93,10.74,0.000500,0.0000140,0.0000063,0.0000916,0.0000557,0.0000726,0.0012811,0.0013683,0.0016146,0.0018850,0.0394147,0.4877401,0.9996780,0.9995881,0.9997798,0.9632787,0.2828123
94,10.73,0.000500,0.0000283,0.0000177,0.0002520,0.0000736,0.0001108,0.0019649,0.0026021,0.0023338,0.0026746,0.0391801,0.4861688,0.9990539,0.9988561,0.9995673,0.9601586,0.2849832
95,10.71,0.000500,0.0000477,0.0000306,0.0005478,0.0001184,0.0001742,0.0029495,0.0032996,0.0033640,0.0036873,0.0379518,0.4870628,0.9980329,0.9975635,0.9990096,0.9631477,0.2831768
96,10.70,0.000500,0.0000112,0.0000051,0.0000752,0.0000429,0.0000580,0.0010775,0.0013708,0.0012261,0.0017900,0.0398485,0.4879752,0.9997425,0.9997239,0.9998118,0.9634753,0.2831036
97,10.69,0.000500,0.0002243,0.0001610,0.0039013,0.0004227,0.0005370,0.0117951,0.0067763,0.0074955,0.0084686,0.0390195,0.4861480,0.9924939,0.9891389,0.9950795,0.9548468,0.2740044
98,10.73,0.000500,0.0001128,0.0000854,0.0007708,0.0001980,0.0002257,0.0045694,0.0052932,0.0056117,0.0056171,0.0372098,0.4874190,0.9968280,0.9954295,0.9972749,0.9630942,0.2811424
99,10.73,0.000500,0.0000113,0.0000059,0.0000444,0.0000381,0.0000474,0.0009959,0.0014627,0.0013744,0.0021132,0.0383978,0.4894692,0.9997092,0.9996889,0.9997002,0.9663367,0.2840554
100,10.75,0.000500,0.0000583,0.0000423,0.0004148,0.0001097,0.0001577,0.0030317,0.0037250,0.0033403,0.0043714,0.0378481,0.4888944,0.9978996,0.9977843,0.9988591,0.9645396,0.2841209
101,10.76,0.000500,0.0000557,0.0000404,0.0004800,0.0001099,0.0001182,0.0025598,0.0039394,0.0038334,0.0045970,0.0375203,0.4886902,0.9972730,0.9970615,0.9986969,0.9641523,0.2853093
102,10.75,0.000500,0.0000086,0.0000042,0.0000671,0.0000307,0.0000443,0.0008429,0.0011402,0.0012601,0.0017440,0.0386028,0.4900891,0.9998119,0.9997249,0.9998388,0.9670960,0.2845857
103,10.78,0.000500,0.0000154,0.0000101,0.0001355,0.0000369,0.0000520,0.0008950,0.0019583,0.0016031,0.0018633,0.0384702,0.4899959,0.9995297,0.9994306,0.9997547,0.9662563,0.2846061
104,10.76,0.000500,0.0000081,0.0000047,0.0000295,0.0000246,0.0000356,0.0006116,0.0009647,0.0010798,0.0013064,0.0387109,0.4903030,0.9998676,0.9998236,0.9998941,0.9670978,0.2846464
105,10.78,0.000500,0.0000051,0.0000021,0.0000306,0.0000203,0.0000334,0.0005888,0.0011893,0.0012216,0.0014513,0.0397268,0.4903499,0.9997916,0.9997135,0.9998811,0.9661988,0.2831349
106,10.76,0.000500,0.0003483,0.0002573,0.0084329,0.0005824,0.0006602,0.0177133,0.0091743,0.0097799,0.0117511,0.0410742,0.4863122,0.9892043,0.9822376,0.9906886,0.9467368,0.2720195
107,10.75,0.000500,0.0000072,0.0000032,0.0000342,0.0000279,0.0000460,0.0007309,0.0010757,0.0010888,0.0015514,0.0396463,0.4904820,0.9998590,0.9997873,0.9998678,0.9661812,0.2839363
108,10.77,0.000500,0.0000125,0.0000081,0.0001446,0.0000298,0.0000401,0.0008709,0.0016561,0.0016377,0.0022910,0.0391663,0.4906789,0.9995646,0.9995010,0.9996606,0.9671124,0.2834581
109,10.76,0.000500,0.0000082,0.0000041,0.0000586,0.0000295,0.0000457,0.0007198,0.0012807,0.0011258,0.0015659,0.0394357,0.4903049,0.9998342,0.9997991,0.9998753,0.9655918,0.2840739
110,10.76,0.000500,0.0000044,0.0000018,0.0000261,0.0000181,0.0000286,0.0004718,0.0009119,0.0009223,0.0012454,0.0389313,0.4910726,0.9998842,0.9998478,0.9999093,0.9678175,0.2838578
