Epoch,Time,LR,Loss,Loss_data,Loss_T_bound,Loss_NSE,Loss_EE,Loss_conti,MAE_u,MAE_v,MAE_w,MAE_T,MAE_p,COR_u,COR_v,COR_w,COR_T,COR_p
128,10.78,0.000250,0.0000034,0.0000017,0.0000236,0.0000117,0.0000165,0.0003064,0.0008018,0.0007083,0.0009589,0.0370959,0.4944937,0.9998978,0.9999033,0.9999461,0.9729831,0.2855831
129,10.76,0.000250,0.0000038,0.0000020,0.0000219,0.0000124,0.0000171,0.0003342,0.0008570,0.0009025,0.0010764,0.0371599,0.4947056,0.9999025,0.9998606,0.9999335,0.9733058,0.2852953
130,10.76,0.000250,0.0000043,0.0000025,0.0000313,0.0000124,0.0000178,0.0003165,0.0011924,0.0012309,0.0013782,0.0374640,0.4947952,0.9997624,0.9996970,0.9998833,0.9731350,0.2854358
131,10.77,0.000250,0.0000027,0.0000013,0.0000110,0.0000106,0.0000136,0.0002486,0.0008829,0.0008154,0.0009934,0.0369542,0.4950782,0.9999026,0.9998888,0.9999461,0.9736025,0.2861464
132,10.78,0.000250,0.0000052,0.0000026,0.0000214,0.0000192,0.0000224,0.0003949,0.0011607,0.0010764,0.0014874,0.0365369,0.4950483,0.9998611,0.9998609,0.9998766,0.9737840,0.2863204
133,10.77,0.000250,0.0000026,0.0000014,0.0000131,0.0000089,0.0000146,0.0002201,0.0007454,0.0006940,0.0009333,0.0365415,0.4953253,0.9999271,0.9999093,0.9999505,0.9742584,0.2868663
134,10.76,0.000250,0.0000021,0.0000010,0.0000099,0.0000079,0.0000118,0.0002333,0.0007791,0.0008331,0.0010599,0.0367843,0.4952542,0.9999098,0.9998742,0.9999343,0.9738634,0.2870245
135,10.78,0.000250,0.0000033,0.0000018,0.0000123,0.0000108,0.0000134,0.0002957,0.0009597,0.0008878,0.0011137,0.0368341,0.4954063,0.9999012,0.9998541,0.9999217,0.9739131,0.2871454
136,10.76,0.000250,0.0000048,0.0000024,0.0000276,0.0000171,0.0000283,0.0004587,0.0008721,0.0008255,0.0011485,0.0377854,0.4947910,0.9998421,0.9998598,0.9999189,0.9719325,0.2841682
137,10.76,0.000250,0.0000028,0.0000013,0.0000190,0.0000107,0.0000141,0.0002716,0.0008451,0.0008683,0.0010471,0.0374865,0.4955730,0.9998927,0.9998499,0.9999382,0.9731336,0.2854508
138,10.75,0.000250,0.0000036,0.0000017,0.0000141,0.0000139,0.0000187,0.0003491,0.0009920,0.0008351,0.0010415,0.0367966,0.4957791,0.9998896,0.9998685,0.9999427,0.9739736,0.2860794
139,10.75,0.000250,0.0000026,0.0000015,0.0000142,0.0000076,0.0000118,0.0002107,0.0009365,0.0008858,0.0010051,0.0368024,0.4957991,0.9998743,0.9998403,0.9999403,0.9741555,0.2865101
140,10.78,0.000250,0.0000030,0.0000014,0.0000116,0.0000114,0.0000150,0.0003099,0.0008679,0.0008014,0.0011606,0.0365604,0.4958759,0.9999079,0.9998903,0.9999288,0.9741946,0.2867130
141,10.77,0.000250,0.0000125,0.0000081,0.0000240,0.0000316,0.0000311,0.0008691,0.0016440,0.0015645,0.0021310,0.0364763,0.4958799,0.9996049,0.9995166,0.9997289,0.9741132,0.2868225
142,10.79,0.000250,0.0000051,0.0000025,0.0000336,0.0000188,0.0000244,0.0005067,0.0011106,0.0010332,0.0013573,0.0360775,0.4957676,0.9998494,0.9998421,0.9998907,0.9743463,0.2873398
143,10.79,0.000250,0.0000018,0.0000008,0.0000086,0.0000069,0.0000096,0.0001682,0.0006916,0.0007176,0.0010343,0.0361402,0.4959792,0.9999305,0.9999050,0.9999318,0.9748951,0.2881120
144,10.78,0.000250,0.0000037,0.0000017,0.0000155,0.0000141,0.0000182,0.0003562,0.0008374,0.0008644,0.0011336,0.0364637,0.4952595,0.9998979,0.9998803,0.9999242,0.9736735,0.2875786
145,10.77,0.000250,0.0000025,0.0000010,0.0000095,0.0000103,0.0000135,0.0002460,0.0009276,0.0009029,0.0010115,0.0361589,0.4959662,0.9998909,0.9998515,0.9999412,0.9748161,0.2879592
146,10.77,0.000250,0.0000061,0.0000022,0.0000138,0.0000283,0.0000359,0.0006589,0.0012234,0.0010276,0.0013686,0.0364015,0.4952317,0.9997992,0.9998178,0.9998904,0.9734272,0.2882338
147,10.78,0.000250,0.0000042,0.0000025,0.0000125,0.0000117,0.0000156,0.0003027,0.0012004,0.0011044,0.0013140,0.0359580,0.4964044,0.9997986,0.9997442,0.9999014,0.9752029,0.2884839
148,10.77,0.000250,0.0000050,0.0000034,0.0000103,0.0000116,0.0000142,0.0003190,0.0012084,0.0011257,0.0013710,0.0354511,0.4963750,0.9998550,0.9998038,0.9998977,0.9755500,0.2890589
149,10.76,0.000250,0.0000062,0.0000041,0.0000851,0.0000145,0.0000153,0.0004006,0.0012826,0.0015826,0.0017746,0.0355092,0.4964387,0.9997457,0.9996621,0.9998038,0.9754724,0.2888043
150,10.76,0.000250,0.0000028,0.0000014,0.0000088,0.0000093,0.0000160,0.0002347,0.0008108,0.0007624,0.0011421,0.0355666,0.4965176,0.9999243,0.9999107,0.9999384,0.9756172,0.2894626
151,10.77,0.000250,0.0000021,0.0000011,0.0000117,0.0000064,0.0000101,0.0001744,0.0006808,0.0006282,0.0009783,0.0355206,0.4965645,0.9999315,0.9999217,0.9999387,0.9756451,0.2894723
152,10.76,0.000250,0.0000032,0.0000018,0.0000140,0.0000100,0.0000113,0.0002130,0.0006723,0.0006928,0.0009721,0.0353310,0.4966458,0.9999290,0.9999106,0.9999380,0.9758220,0.2893645
153,10.76,0.000250,0.0000029,0.0000011,0.0000111,0.0000137,0.0000152,0.0002689,0.0008782,0.0008959,0.0010350,0.0363160,0.4962966,0.9998850,0.9998379,0.9999357,0.9747465,0.2881577
154,10.76,0.000250,0.0000062,0.0000036,0.0000342,0.0000187,0.0000220,0.0004654,0.0011383,0.0011680,0.0014764,0.0356550,0.4964674,0.9998143,0.9997754,0.9998642,0.9753743,0.2884892
155,10.76,0.000250,0.0000016,0.0000008,0.0000071,0.0000058,0.0000087,0.0001544,0.0006921,0.0007196,0.0008325,0.0355215,0.4967715,0.9999276,0.9999008,0.9999599,0.9758695,0.2892470
156,10.78,0.000250,0.0000018,0.0000009,0.0000088,0.0000063,0.0000090,0.0001677,0.0006548,0.0006403,0.0008918,0.0353493,0.4967472,0.9999372,0.9999196,0.9999548,0.9759167,0.2895600
157,10.79,0.000250,0.0000017,0.0000009,0.0000123,0.0000055,0.0000084,0.0001505,0.0008088,0.0008464,0.0010088,0.0357219,0.4966990,0.9998941,0.9998585,0.9999396,0.9756456,0.2894387
158,10.78,0.000250,0.0000021,0.0000011,0.0000083,0.0000065,0.0000092,0.0001750,0.0008622,0.0008500,0.0011567,0.0355904,0.4968016,0.9999016,0.9998706,0.9999076,0.9756101,0.2896459
159,10.77,0.000250,0.0000059,0.0000033,0.0000256,0.0000183,0.0000228,0.0005136,0.0010853,0.0010544,0.0014617,0.0355709,0.4963172,0.9998552,0.9998198,0.9998805,0.9749245,0.2895229
160,10.78,0.000250,0.0000053,0.0000030,0.0000203,0.0000169,0.0000180,0.0003843,0.0013601,0.0013505,0.0014513,0.0359045,0.4968357,0.9997661,0.9996791,0.9998651,0.9752373,0.2897342
161,10.79,0.000250,0.0000038,0.0000022,0.0000357,0.0000107,0.0000139,0.0003620,0.0008809,0.0009071,0.0011850,0.0362432,0.4963773,0.9998915,0.9998726,0.9999159,0.9744620,0.2872317
162,10.78,0.000250,0.0000026,0.0000013,0.0000091,0.0000090,0.0000107,0.0002341,0.0009194,0.0009339,0.0012420,0.0361261,0.4968931,0.9998888,0.9998423,0.9999027,0.9750825,0.2882018
163,10.78,0.000250,0.0000021,0.0000011,0.0000083,0.0000070,0.0000092,0.0001851,0.0008805,0.0009725,0.0012266,0.0359514,0.4969282,0.9998866,0.9998478,0.9999174,0.9752831,0.2886178
164,10.78,0.000250,0.0000043,0.0000020,0.0000183,0.0000183,0.0000175,0.0003004,0.0010602,0.0009233,0.0012005,0.0357058,0.4966544,0.9998591,0.9998443,0.9999132,0.9752810,0.2891388
165,10.79,0.000250,0.0000020,0.0000011,0.0000159,0.0000066,0.0000081,0.0001499,0.0007504,0.0007853,0.0008700,0.0355549,0.4969267,0.9999144,0.9998884,0.9999571,0.9759105,0.2896225
166,10.78,0.000250,0.0000028,0.0000014,0.0000112,0.0000097,0.0000146,0.0002339,0.0009482,0.0006631,0.0011623,0.0349987,0.4971890,0.9999264,0.9999222,0.9999413,0.9764678,0.2900061
167,10.77,0.000250,0.0000120,0.0000057,0.0000302,0.0000518,0.0000384,0.0006859,0.0013834,0.0011894,0.0021994,0.0351065,0.4968590,0.9997750,0.9997243,0.9998230,0.9758039,0.2893756
168,10.77,0.000250,0.0000034,0.0000018,0.0000079,0.0000116,0.0000128,0.0002393,0.0008065,0.0008015,0.0010876,0.0352705,0.4971453,0.9999117,0.9998796,0.9999361,0.9760851,0.2901752
169,10.76,0.000250,0.0000019,0.0000011,0.0000091,0.0000061,0.0000082,0.0001544,0.0008478,0.0008999,0.0012598,0.0356797,0.4970613,0.9998865,0.9998410,0.9999007,0.9758185,0.2900969
170,10.74,0.000250,0.0000051,0.0000024,0.0000416,0.0000181,0.0000272,0.0005609,0.0009595,0.0010700,0.0012605,0.0375925,0.4948736,0.9998423,0.9998195,0.9999043,0.9717562,0.2857329
171,10.75,0.000250,0.0000027,0.0000011,0.0000173,0.0000110,0.0000162,0.0002799,0.0008659,0.0008906,0.0011882,0.0377207,0.4959826,0.9998771,0.9998360,0.9999210,0.9727483,0.2858714
172,10.75,0.000250,0.0000034,0.0000019,0.0000138,0.0000110,0.0000152,0.0002939,0.0008878,0.0008110,0.0011583,0.0365993,0.4965845,0.9999034,0.9998829,0.9999200,0.9742503,0.2867086
173,10.75,0.000250,0.0000024,0.0000011,0.0000182,0.0000093,0.0000152,0.0002097,0.0006076,0.0006530,0.0008715,0.0365914,0.4965150,0.9999411,0.9999205,0.9999602,0.9742733,0.2868701
174,10.74,0.000250,0.0000038,0.0000017,0.0000149,0.0000148,0.0000211,0.0003691,0.0008993,0.0009225,0.0011926,0.0362218,0.4967244,0.9998893,0.9998575,0.9999143,0.9745758,0.2869354
175,10.81,0.000250,0.0000034,0.0000017,0.0000200,0.0000125,0.0000149,0.0003047,0.0007823,0.0008560,0.0010524,0.0357798,0.4968460,0.9999075,0.9998953,0.9999329,0.9751585,0.2878211
176,10.76,0.000250,0.0000021,0.0000009,0.0000101,0.0000086,0.0000123,0.0002171,0.0007631,0.0008255,0.0010787,0.0360417,0.4971039,0.9999114,0.9998692,0.9999254,0.9752341,0.2884648
177,10.76,0.000250,0.0000052,0.0000033,0.0000599,0.0000128,0.0000188,0.0003337,0.0009406,0.0009408,0.0014174,0.0353390,0.4970460,0.9998490,0.9998356,0.9998614,0.9758058,0.2886546
178,10.75,0.000250,0.0000030,0.0000016,0.0000212,0.0000102,0.0000132,0.0002189,0.0006962,0.0007080,0.0009432,0.0349808,0.4972000,0.9999319,0.9999289,0.9999510,0.9763611,0.2894239
179,10.75,0.000250,0.0000041,0.0000026,0.0000234,0.0000110,0.0000142,0.0002502,0.0008422,0.0006962,0.0009242,0.0353805,0.4973162,0.9999279,0.9999115,0.9999477,0.9759749,0.2892676
180,10.77,0.000250,0.0000025,0.0000013,0.0000081,0.0000088,0.0000112,0.0002607,0.0007622,0.0008136,0.0010024,0.0356412,0.4970779,0.9999152,0.9998938,0.9999408,0.9754190,0.2893272
181,10.79,0.000125,0.0000009,0.0000004,0.0000058,0.0000027,0.0000057,0.0000880,0.0006103,0.0006049,0.0008624,0.0351770,0.4979639,0.9999416,0.9999229,0.9999501,0.9768036,0.2900697
182,10.78,0.000125,0.0000010,0.0000005,0.0000049,0.0000038,0.0000060,0.0001015,0.0006455,0.0006706,0.0009019,0.0348004,0.4984411,0.9999337,0.9999065,0.9999474,0.9773907,0.2904686
183,10.79,0.000125,0.0000016,0.0000009,0.0000083,0.0000052,0.0000075,0.0001338,0.0007490,0.0007455,0.0010345,0.0347041,0.4985700,0.9999210,0.9998906,0.9999375,0.9774927,0.2909577
184,10.77,0.000125,0.0000015,0.0000009,0.0000050,0.0000044,0.0000066,0.0001190,0.0007686,0.0007983,0.0010336,0.0345030,0.4988101,0.9999129,0.9998692,0.9999297,0.9777349,0.2912526
185,10.75,0.000125,0.0000013,0.0000007,0.0000079,0.0000044,0.0000068,0.0001064,0.0006446,0.0006423,0.0008655,0.0340545,0.4990064,0.9999399,0.9999195,0.9999523,0.9782484,0.2917102
186,10.77,0.000125,0.0000012,0.0000007,0.0000059,0.0000039,0.0000065,0.0001078,0.0007460,0.0007746,0.0010171,0.0339934,0.4991159,0.9999098,0.9998748,0.9999352,0.9784204,0.2919179
187,10.77,0.000125,0.0000016,0.0000009,0.0000114,0.0000050,0.0000068,0.0001266,0.0007257,0.0007251,0.0010745,0.0338533,0.4991705,0.9999133,0.9998917,0.9999278,0.9785416,0.2922192
188,10.79,0.000125,0.0000016,0.0000008,0.0000062,0.0000062,0.0000081,0.0001495,0.0008097,0.0007847,0.0011504,0.0336995,0.4991873,0.9999079,0.9998776,0.9999138,0.9787437,0.2923877
189,10.76,0.000125,0.0000011,0.0000006,0.0000045,0.0000036,0.0000057,0.0001024,0.0006017,0.0006416,0.0008647,0.0334934,0.4993212,0.9999453,0.9999188,0.9999558,0.9788914,0.2926006
190,10.79,0.000125,0.0000013,0.0000007,0.0000047,0.0000046,0.0000061,0.0001123,0.0006598,0.0006942,0.0009405,0.0334229,0.4994790,0.9999318,0.9999029,0.9999512,0.9790742,0.2928982
191,10.79,0.000125,0.0000010,0.0000005,0.0000052,0.0000039,0.0000062,0.0001101,0.0006352,0.0006426,0.0008968,0.0331384,0.4995728,0.9999387,0.9999207,0.9999498,0.9792901,0.2933600
192,10.78,0.000125,0.0000018,0.0000012,0.0000056,0.0000046,0.0000062,0.0001259,0.0005842,0.0006595,0.0008801,0.0329874,0.4997225,0.9999503,0.9999295,0.9999509,0.9793950,0.2935474
193,10.75,0.000125,0.0000013,0.0000007,0.0000095,0.0000047,0.0000058,0.0001021,0.0006548,0.0006291,0.0007736,0.0328377,0.4997232,0.9999344,0.9999186,0.9999651,0.9796900,0.2934339
194,10.74,0.000125,0.0000011,0.0000006,0.0000050,0.0000030,0.0000052,0.0000965,0.0006131,0.0006130,0.0009195,0.0327092,0.4998949,0.9999431,0.9999238,0.9999500,0.9798753,0.2938107
195,10.76,0.000125,0.0000013,0.0000007,0.0000044,0.0000039,0.0000057,0.0001113,0.0008361,0.0007805,0.0010168,0.0330401,0.4999200,0.9999017,0.9998668,0.9999349,0.9796550,0.2935937
196,10.76,0.000125,0.0000016,0.0000009,0.0000066,0.0000048,0.0000065,0.0001450,0.0007285,0.0006788,0.0010399,0.0327256,0.5000014,0.9999324,0.9999036,0.9999341,0.9797467,0.2940257
197,10.75,0.000125,0.0000009,0.0000004,0.0000050,0.0000029,0.0000055,0.0000896,0.0005709,0.0005887,0.0008838,0.0329271,0.4992071,0.9999495,0.9999326,0.9999468,0.9792665,0.2936566
198,10.78,0.000125,0.0000027,0.0000017,0.0000151,0.0000065,0.0000082,0.0001589,0.0007818,0.0007378,0.0012379,0.0324097,0.4998186,0.9999208,0.9999009,0.9999061,0.9799294,0.2943472
199,10.77,0.000125,0.0000014,0.0000009,0.0000088,0.0000038,0.0000057,0.0001162,0.0007910,0.0007378,0.0008875,0.0325091,0.4999334,0.9999268,0.9999055,0.9999512,0.9800397,0.2943276
200,10.79,0.000125,0.0000178,0.0000120,0.0002736,0.0000420,0.0000480,0.0007642,0.0019910,0.0018667,0.0028439,0.0318030,0.4994464,0.9994542,0.9992955,0.9995019,0.9796035,0.2949369
201,10.80,0.000125,0.0000016,0.0000008,0.0000046,0.0000063,0.0000070,0.0001365,0.0007317,0.0007508,0.0009712,0.0325249,0.4999660,0.9999179,0.9998826,0.9999456,0.9801529,0.2944261
202,10.75,0.000125,0.0000017,0.0000009,0.0000059,0.0000062,0.0000068,0.0001053,0.0006226,0.0006110,0.0008330,0.0319962,0.5001459,0.9999457,0.9999330,0.9999607,0.9805509,0.2949549
203,10.78,0.000125,0.0000017,0.0000009,0.0000046,0.0000062,0.0000077,0.0001281,0.0007086,0.0006342,0.0008452,0.0318822,0.5001331,0.9999434,0.9999285,0.9999584,0.9807100,0.2950937
204,10.82,0.000125,0.0000008,0.0000004,0.0000042,0.0000026,0.0000045,0.0000747,0.0006211,0.0006320,0.0008649,0.0322727,0.4998509,0.9999367,0.9999150,0.9999504,0.9802826,0.2945249
205,10.77,0.000125,0.0000015,0.0000010,0.0000068,0.0000037,0.0000052,0.0001048,0.0006489,0.0006600,0.0010488,0.0319560,0.5001664,0.9999360,0.9999129,0.9999296,0.9806603,0.2951947
206,10.78,0.000125,0.0000014,0.0000009,0.0000052,0.0000040,0.0000061,0.0001128,0.0006421,0.0006839,0.0008708,0.0318353,0.5001835,0.9999405,0.9999142,0.9999513,0.9807496,0.2952251
207,10.78,0.000125,0.0000023,0.0000012,0.0000090,0.0000081,0.0000098,0.0002089,0.0008169,0.0008509,0.0012260,0.0321048,0.5001191,0.9999034,0.9998563,0.9999067,0.9804838,0.2955678
208,10.82,0.000125,0.0000014,0.0000008,0.0000055,0.0000049,0.0000062,0.0001277,0.0007641,0.0007901,0.0011689,0.0317617,0.5004012,0.9999030,0.9998738,0.9999143,0.9809422,0.2956772
209,10.79,0.000125,0.0000018,0.0000011,0.0000152,0.0000049,0.0000064,0.0001378,0.0007777,0.0008306,0.0010136,0.0317471,0.5004864,0.9999163,0.9998730,0.9999351,0.9808847,0.2955431
210,10.79,0.000125,0.0000018,0.0000009,0.0000052,0.0000071,0.0000080,0.0001479,0.0008091,0.0008803,0.0013955,0.0319604,0.5004522,0.9998952,0.9998428,0.9998696,0.9808609,0.2957602
211,10.80,0.000125,0.0000012,0.0000006,0.0000049,0.0000046,0.0000062,0.0001171,0.0005965,0.0006501,0.0008948,0.0315127,0.5004855,0.9999450,0.9999220,0.9999593,0.9812472,0.2959843
212,10.80,0.000125,0.0000009,0.0000005,0.0000048,0.0000031,0.0000043,0.0000752,0.0005681,0.0005740,0.0007662,0.0315374,0.5003064,0.9999487,0.9999347,0.9999612,0.9810489,0.2956824
213,10.79,0.000125,0.0000010,0.0000006,0.0000033,0.0000031,0.0000048,0.0000856,0.0006857,0.0007409,0.0010581,0.0315041,0.5006491,0.9999249,0.9998882,0.9999300,0.9813184,0.2960372
214,10.79,0.000125,0.0000014,0.0000007,0.0000036,0.0000054,0.0000068,0.0001092,0.0006267,0.0006350,0.0008382,0.0311614,0.5006788,0.9999403,0.9999261,0.9999568,0.9816154,0.2963230
215,10.78,0.000125,0.0000008,0.0000004,0.0000039,0.0000030,0.0000043,0.0000795,0.0006478,0.0006404,0.0008762,0.0311668,0.5006706,0.9999354,0.9999150,0.9999519,0.9816209,0.2961950
216,10.76,0.000125,0.0000021,0.0000010,0.0000061,0.0000075,0.0000093,0.0001659,0.0008545,0.0007538,0.0010458,0.0312536,0.5006540,0.9999156,0.9998843,0.9999297,0.9813963,0.2964596
217,10.77,0.000125,0.0000014,0.0000009,0.0000068,0.0000039,0.0000051,0.0000994,0.0007588,0.0006583,0.0009404,0.0309434,0.5008615,0.9999380,0.9999178,0.9999447,0.9818224,0.2965766
218,10.80,0.000125,0.0000010,0.0000005,0.0000030,0.0000036,0.0000051,0.0000920,0.0006983,0.0006768,0.0008288,0.0307152,0.5009382,0.9999257,0.9999108,0.9999584,0.9821282,0.2964938
219,10.80,0.000125,0.0000011,0.0000006,0.0000046,0.0000039,0.0000057,0.0000884,0.0006995,0.0007158,0.0008789,0.0307781,0.5009517,0.9999272,0.9999060,0.9999533,0.9820354,0.2967328
220,10.80,0.000125,0.0000009,0.0000005,0.0000046,0.0000031,0.0000050,0.0000820,0.0006333,0.0006427,0.0008262,0.0309463,0.5007817,0.9999361,0.9999166,0.9999570,0.9818223,0.2968064
221,10.79,0.000125,0.0000022,0.0000014,0.0000131,0.0000055,0.0000065,0.0001544,0.0009434,0.0008486,0.0011100,0.0308754,0.5009110,0.9998654,0.9998462,0.9999239,0.9819310,0.2965669
222,10.78,0.000125,0.0000009,0.0000005,0.0000056,0.0000029,0.0000042,0.0000747,0.0007045,0.0006907,0.0007833,0.0306795,0.5010499,0.9999304,0.9999092,0.9999633,0.9822071,0.2971450
223,10.76,0.000125,0.0000007,0.0000004,0.0000029,0.0000025,0.0000038,0.0000646,0.0005589,0.0005825,0.0008103,0.0306156,0.5009531,0.9999527,0.9999334,0.9999592,0.9821569,0.2970071
224,10.77,0.000125,0.0000053,0.0000027,0.0000522,0.0000168,0.0000375,0.0005284,0.0009107,0.0008838,0.0012611,0.0341819,0.4973055,0.9998161,0.9997616,0.9998760,0.9739378,0.2941639
225,10.76,0.000125,0.0000021,0.0000009,0.0000195,0.0000077,0.0000163,0.0002354,0.0007380,0.0007143,0.0009496,0.0333913,0.4989268,0.9999161,0.9998954,0.9999402,0.9772952,0.2949436
226,10.77,0.000125,0.0000021,0.0000010,0.0000160,0.0000076,0.0000117,0.0001717,0.0006349,0.0006314,0.0008208,0.0325019,0.4995597,0.9999372,0.9999367,0.9999574,0.9786814,0.2955070
227,10.78,0.000125,0.0000013,0.0000006,0.0000088,0.0000046,0.0000084,0.0001481,0.0005903,0.0005707,0.0008224,0.0326564,0.4999384,0.9999404,0.9999355,0.9999567,0.9790013,0.2958418
228,10.80,0.000125,0.0000015,0.0000008,0.0000093,0.0000048,0.0000093,0.0001337,0.0005934,0.0005945,0.0008298,0.0324844,0.5001230,0.9999475,0.9999313,0.9999593,0.9792725,0.2963963
229,10.77,0.000125,0.0000013,0.0000007,0.0000078,0.0000043,0.0000083,0.0001145,0.0005178,0.0005811,0.0007780,0.0322216,0.5004203,0.9999572,0.9999409,0.9999686,0.9796876,0.2967739
230,10.79,0.000125,0.0000015,0.0000007,0.0000061,0.0000057,0.0000079,0.0001176,0.0006851,0.0007024,0.0009481,0.0321993,0.5006755,0.9999272,0.9999059,0.9999440,0.9799873,0.2969885
231,10.79,0.000125,0.0000014,0.0000007,0.0000063,0.0000044,0.0000076,0.0001074,0.0005805,0.0005906,0.0007410,0.0318898,0.5007389,0.9999478,0.9999304,0.9999709,0.9802896,0.2972178
232,10.76,0.000125,0.0000018,0.0000010,0.0000080,0.0000063,0.0000086,0.0001282,0.0007030,0.0007218,0.0009590,0.0317875,0.5008053,0.9999219,0.9999001,0.9999434,0.9804341,0.2974683
233,10.78,0.000125,0.0000010,0.0000005,0.0000063,0.0000036,0.0000062,0.0000954,0.0006850,0.0006708,0.0009724,0.0318425,0.5007293,0.9999268,0.9999090,0.9999393,0.9804043,0.2972180
234,10.79,0.000125,0.0000012,0.0000007,0.0000052,0.0000034,0.0000056,0.0000911,0.0005448,0.0005328,0.0006608,0.0315262,0.5009641,0.9999571,0.9999448,0.9999753,0.9807508,0.2977107
235,10.79,0.000125,0.0000014,0.0000009,0.0000162,0.0000038,0.0000058,0.0001025,0.0007554,0.0007974,0.0009316,0.0316002,0.5009791,0.9999083,0.9998732,0.9999505,0.9808061,0.2975268
236,10.78,0.000125,0.0000009,0.0000005,0.0000063,0.0000027,0.0000053,0.0000887,0.0005525,0.0005554,0.0007603,0.0314808,0.5007545,0.9999539,0.9999350,0.9999650,0.9808363,0.2977277
237,10.81,0.000125,0.0000012,0.0000006,0.0000045,0.0000040,0.0000057,0.0001038,0.0006252,0.0006704,0.0008082,0.0315194,0.5009989,0.9999361,0.9999131,0.9999624,0.9809053,0.2979694
238,10.77,0.000125,0.0000010,0.0000006,0.0000047,0.0000032,0.0000052,0.0000906,0.0005748,0.0005812,0.0006783,0.0311453,0.5010496,0.9999493,0.9999318,0.9999738,0.9812475,0.2981017
239,10.78,0.000125,0.0000010,0.0000005,0.0000054,0.0000029,0.0000048,0.0000808,0.0006293,0.0006386,0.0007564,0.0311852,0.5010598,0.9999401,0.9999161,0.9999669,0.9812349,0.2982751
240,10.77,0.000125,0.0000011,0.0000006,0.0000056,0.0000042,0.0000062,0.0000905,0.0007692,0.0007830,0.0010812,0.0313267,0.5011128,0.9999033,0.9998775,0.9999275,0.9811842,0.2982106
241,10.78,0.000063,0.0000006,0.0000003,0.0000034,0.0000018,0.0000041,0.0000571,0.0005505,0.0005499,0.0008289,0.0307724,0.5015221,0.9999537,0.9999394,0.9999529,0.9818392,0.2986515
242,10.77,0.000063,0.0000007,0.0000004,0.0000044,0.0000019,0.0000040,0.0000659,0.0005957,0.0006074,0.0008775,0.0305334,0.5017726,0.9999442,0.9999252,0.9999472,0.9821489,0.2988118
243,10.78,0.000063,0.0000007,0.0000004,0.0000037,0.0000023,0.0000041,0.0000709,0.0006147,0.0006236,0.0008727,0.0304267,0.5019060,0.9999389,0.9999166,0.9999468,0.9822987,0.2990159
244,10.80,0.000063,0.0000007,0.0000004,0.0000036,0.0000023,0.0000039,0.0000700,0.0006013,0.0005856,0.0007978,0.0302222,0.5020547,0.9999450,0.9999296,0.9999576,0.9825070,0.2991484
245,10.78,0.000063,0.0000008,0.0000004,0.0000042,0.0000026,0.0000045,0.0000747,0.0006483,0.0006408,0.0009228,0.0300022,0.5021926,0.9999353,0.9999230,0.9999462,0.9826874,0.2995786
246,10.78,0.000063,0.0000008,0.0000005,0.0000037,0.0000024,0.0000039,0.0000707,0.0005259,0.0005253,0.0006972,0.0297981,0.5023198,0.9999579,0.9999439,0.9999719,0.9829368,0.2995950
247,10.79,0.000063,0.0000008,0.0000004,0.0000043,0.0000021,0.0000038,0.0000668,0.0005718,0.0005704,0.0008596,0.0297373,0.5024093,0.9999501,0.9999350,0.9999502,0.9830291,0.2997494
248,10.77,0.000063,0.0000010,0.0000006,0.0000043,0.0000031,0.0000043,0.0000856,0.0005941,0.0006398,0.0008436,0.0296284,0.5025111,0.9999442,0.9999244,0.9999514,0.9831538,0.2999324
249,10.78,0.000063,0.0000007,0.0000004,0.0000042,0.0000019,0.0000036,0.0000624,0.0006034,0.0006036,0.0008567,0.0296066,0.5025502,0.9999426,0.9999264,0.9999489,0.9832140,0.2999415
250,10.78,0.000063,0.0000006,0.0000003,0.0000028,0.0000016,0.0000035,0.0000553,0.0005412,0.0005362,0.0007805,0.0295123,0.5025011,0.9999564,0.9999419,0.9999589,0.9832751,0.3000872
251,10.79,0.000063,0.0000007,0.0000004,0.0000031,0.0000020,0.0000035,0.0000634,0.0005599,0.0006020,0.0008011,0.0294707,0.5026705,0.9999526,0.9999350,0.9999574,0.9834096,0.3002551
252,10.77,0.000063,0.0000007,0.0000004,0.0000041,0.0000022,0.0000039,0.0000670,0.0006238,0.0005975,0.0008545,0.0292428,0.5028140,0.9999451,0.9999269,0.9999525,0.9836185,0.3003926
253,10.79,0.000063,0.0000006,0.0000004,0.0000036,0.0000019,0.0000035,0.0000629,0.0005477,0.0005680,0.0007754,0.0292083,0.5028877,0.9999559,0.9999377,0.9999601,0.9836803,0.3005768
254,10.77,0.000063,0.0000008,0.0000004,0.0000040,0.0000029,0.0000044,0.0000789,0.0006184,0.0006261,0.0008909,0.0291310,0.5029625,0.9999464,0.9999261,0.9999488,0.9837501,0.3007421
255,10.77,0.000063,0.0000007,0.0000003,0.0000025,0.0000022,0.0000040,0.0000648,0.0005304,0.0005215,0.0007604,0.0289205,0.5029767,0.9999596,0.9999488,0.9999622,0.9839463,0.3006774
256,10.77,0.000063,0.0000006,0.0000003,0.0000030,0.0000017,0.0000034,0.0000612,0.0004747,0.0004844,0.0007078,0.0287590,0.5030375,0.9999663,0.9999560,0.9999672,0.9840515,0.3009762
